
locality,home_type,subtype,price,type_of_sale,room,area,equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_land_area,facades,swimming_pool,state_of_building
 Rue de Tournai 12,Loft,,295345,,,,,0,,,,,,,,0,
 Rue Antoine Nélis,Maison,,296900,,,,,0,,,,,, 4.14 ares,,0, Bien neuf
 Rue Théophile Jacquemin Lot 11,Villa,,296900,,,,,0,,,,,, 7.07 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,298500,,,,,0,,,,,, 4.68 ares,,0, Bien neuf
 Heibergstraat 45,Maison,,299000,,,,,0,,,,,,,,0,
,Appartement,,300000,,,,,0,,,,,,,,0,
 Picardstraat 11,Appartement,,303000,,,,,0,,,,,,,,0, Bien neuf
 Rue Antoine Nélis,Maison,,303500,,,,,0,,,,,, 5.54 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,304100,,,,,0,,,,,, 4.15 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,304200,,,,,0,,,,,, 5.16 ares,,0, Bien neuf
 Rue Antoine Nélis,Maison,,304200,,,,,0,,,,,, 4.1 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,304300,,,,,0,,,,,, 4.16 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,304500,,,,,0,,,,,, 5.59 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,305200,,,,,0,,,,,, 3.85 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,305200,,,,,0,,,,,, 4.35 ares,,0, Bien neuf
 Rue de Villemont,Maison,,305600,,,,,0,,,,,, 4.08 ares,,0, Bien neuf
 Rue de Villemont,Maison,,306500,,,,,0,,,,,, 6.03 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,307300,,,,,0,,,,,, 3.85 ares,,0, Bien neuf
 Rue Théophile Jacquemin Lot 20,Villa,,307900,,,,,0,,,,,, 9.62 ares,,0, Bien neuf
 Kerkstraat 76,Penthouse,,309000,,,,,0,,,,,, 7.29 ares,,0, Bien neuf
 Onderwijsstraat 8,Maison,,309000,,,,,0,,,,,,,,0,
 Fond des Fawes 1,Maison,,309000,,,,,0,,,,,, 7 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,309500,,,,,0,,,,,, 4.67 ares,,0, Bien neuf
 Pervijzestraat 56,Maison,,310000,,,,,0,,,,,,,,0,
 Rue Jean Vinois 4,Maison,,310000,,,,,0,,,,,, 1.6 are,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,310300,,,,,0,,,,,, 3.85 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,312600,,,,,0,,,,,, 3.85 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,314300,,,,,0,,,,,, 5.18 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,314500,,,,,0,,,,,, 4.69 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,314700,,,,,0,,,,,, 4.65 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,314800,,,,,0,,,,,, 4.65 ares,,0, Bien neuf
 Rooigemlaan 367,Maison,,315000,,,,,0,,,,,, 1.05 are,,0,
 Rue Antoine Nélis,Maison,,315900,,,,,0,,,,,, 4.7 ares,,0, Bien neuf
 Dalakkerstraat 9,Maison,,318000,,,,,0,,,,,, 6.01 ares,,0, Bien neuf
 Edw. Schelfhoutstraat 167,Maison,,319000,,,,,0,,,,,,,,0,
 Ives-Sabin Maghermanlaan 50,Maison,,319000,,,,,0,,,,,, 6.9 ares,,0,
 Rue de la Botte d'asperges,Maison,,319200,,,,,0,,,,,, 4.5 ares,,0, Bien neuf
 Rue de la Botte d'asperges,Maison,,319500,,,,,0,,,,,, 4.63 ares,,0, Bien neuf
